file	status	date_created
ENCFF454TGL	in progress	2015-12-23T14:11:49.738302+00:00
ENCFF498KBI	in progress	2016-02-24T04:33:36.036318+00:00
ENCFF325UXV	in progress	2015-12-23T12:57:19.630184+00:00
ENCFF241XFH	in progress	2016-02-26T13:27:01.926842+00:00
ENCFF849MBA	in progress	2016-02-26T15:13:52.994034+00:00
ENCFF735IUI	in progress	2016-03-03T06:30:07.517446+00:00
ENCFF093KEW	in progress	2016-03-03T12:28:39.690514+00:00
ENCFF220HNB	in progress	2016-02-26T13:34:59.759585+00:00
ENCFF935HUK	in progress	2016-02-26T15:02:31.338309+00:00
ENCFF503DAG	in progress	2016-02-26T13:17:10.066715+00:00
ENCFF314RLD	in progress	2016-03-03T12:23:03.843580+00:00
ENCFF531NTI	in progress	2016-03-03T06:32:17.154928+00:00
ENCFF378QGZ	in progress	2016-02-26T15:49:53.045717+00:00
ENCFF519ZPA	in progress	2016-02-26T14:42:17.427169+00:00
ENCFF641ITN	in progress	2016-03-03T01:50:24.379594+00:00
ENCFF496SEN	in progress	2016-02-26T12:32:39.978741+00:00
ENCFF768ENJ	in progress	2016-02-26T13:55:40.634718+00:00
ENCFF131YXU	in progress	2016-02-26T15:19:49.836447+00:00
ENCFF291EMG	in progress	2016-02-26T13:20:49.790329+00:00
ENCFF702KDW	in progress	2016-02-26T15:25:04.456515+00:00
ENCFF913CZL	in progress	2016-03-03T04:45:04.883071+00:00
ENCFF028FWP	in progress	2016-03-03T06:33:55.433105+00:00
ENCFF737XPY	in progress	2016-03-03T12:27:50.153220+00:00
ENCFF119HIP	in progress	2016-02-26T14:55:35.594015+00:00
ENCFF174FRW	in progress	2016-02-26T14:57:06.359992+00:00
ENCFF828ZEQ	in progress	2016-02-26T14:26:04.908483+00:00
ENCFF920WNX	in progress	2016-03-03T12:24:14.309223+00:00
ENCFF343EVP	in progress	2016-03-03T12:31:42.370848+00:00
ENCFF214KMN	in progress	2016-03-03T06:32:51.264262+00:00
ENCFF270LMI	in progress	2016-02-26T13:05:27.029244+00:00
ENCFF226CSU	in progress	2016-02-26T12:45:25.617960+00:00
ENCFF495VBF	in progress	2016-03-03T04:45:26.559042+00:00
ENCFF370NAO	in progress	2016-03-03T12:18:12.915108+00:00
ENCFF210PXS	in progress	2016-02-26T14:32:33.559186+00:00
ENCFF761GFN	in progress	2016-02-26T16:02:22.356020+00:00
ENCFF525AYL	in progress	2016-02-26T14:50:59.067468+00:00
ENCFF310WZD	in progress	2016-03-03T06:31:20.601853+00:00
ENCFF872FEL	in progress	2016-03-03T06:34:21.481640+00:00
ENCFF900ORC	in progress	2016-02-26T14:41:29.659943+00:00
ENCFF999CGV	in progress	2016-02-26T13:21:47.134903+00:00
ENCFF318EXS	in progress	2016-02-26T14:58:28.785555+00:00
ENCFF015DNC	in progress	2016-02-26T15:06:15.318853+00:00
ENCFF252NCZ	in progress	2016-02-26T13:43:30.896277+00:00
ENCFF763FGT	in progress	2016-02-26T13:15:00.452583+00:00
ENCFF727BRD	in progress	2016-02-26T15:21:26.619868+00:00
ENCFF617VWH	in progress	2016-02-26T14:09:47.992073+00:00
ENCFF481ROV	in progress	2016-02-26T15:51:45.859582+00:00
ENCFF687CSH	in progress	2016-03-03T01:46:22.859919+00:00
ENCFF124DEL	in progress	2016-03-02T06:00:33.521416+00:00
