accession	validation_status
ENCSR913ZWR	bronze
ENCSR883BXR	bronze
ENCSR207QGW	bronze
ENCSR239BCO	bronze
ENCSR495YSS	bronze
ENCSR952RRH	silver
ENCSR961YAG	silver
ENCSR995ZGJ	bronze
ENCSR936TED	bronze
ENCSR031RZS	bronze
ENCSR946OFN	bronze
ENCSR942UNX	bronze
ENCSR927TSP	bronze
ENCSR014VQS	bronze
ENCSR942MBU	bronze
ENCSR945XKW	bronze
ENCSR939ZRA	bronze
ENCSR927SLP	bronze
ENCSR368ZRP	bronze
ENCSR606QIX	bronze
ENCSR973QSV	bronze
ENCSR947OIM	gold
ENCSR998MZP	bronze
ENCSR945UYL	bronze
ENCSR675KPR	bronze
ENCSR936VPP	bronze
ENCSR906RHU	silver
ENCSR907UTB	bronze
ENCSR312SRB	bronze
ENCSR925RNE	bronze
ENCSR998RZI	bronze
ENCSR964YTW	bronze
ENCSR957EEG	bronze
ENCSR963RLK	bronze
ENCSR954HAY	bronze
ENCSR984CLJ	bronze
ENCSR995RPB	bronze
ENCSR155EZL	ungradable
ENCSR034VBA	bronze
ENCSR527QNC	ungradable
ENCSR318OXM	unreleasable
ENCSR167JPY	bronze
ENCSR558XNA	bronze
ENCSR529MBZ	bronze
ENCSR788YGG	bronze
ENCSR874DVZ	ungradable
ENCSR634KBO	bronze
ENCSR775TMW	ungradable
ENCSR343DHN	bronze
ENCSR459EMR	bronze
ENCSR642LMG	ungradable
ENCSR689PHN	bronze
ENCSR769SHS	ungradable
ENCSR029LGJ	bronze
ENCSR618IQH	ungradable
ENCSR684JDC	ungradable
ENCSR202EMF	ungradable
ENCSR864OTV	ungradable
ENCSR200QFV	ungradable
ENCSR118XYK	bronze
ENCSR422JMS	bronze
ENCSR372UWV	bronze
ENCSR813NZP	bronze
ENCSR282UZM	ungradable
ENCSR896FIX	ungradable
ENCSR690UXD	ungradable
ENCSR978CSQ	bronze
ENCSR049ARM	ungradable
ENCSR267RHP	bronze
ENCSR412WYY	ungradable
ENCSR518JXY	ungradable
ENCSR771QMJ	bronze
ENCSR717SJA	bronze
ENCSR486AIO	bronze
ENCSR251OLX	ungradable
ENCSR300QFQ	bronze
ENCSR772KKY	ungradable
ENCSR768VVT	ungradable
ENCSR380ADI	ungradable
ENCSR386YEV	bronze
ENCSR191VWK	bronze
ENCSR306IOF	bronze
ENCSR227AVS	bronze
ENCSR519KXM	bronze
ENCSR410ZPU	bronze
ENCSR660MZN	bronze
ENCSR149DMY	silver
ENCSR342EDG	silver
ENCSR850PWM	bronze
ENCSR295XKC	bronze
ENCSR234YMW	bronze
ENCSR047AJA	bronze
ENCSR491FOC	bronze
ENCSR708GKW	bronze
ENCSR533HXS	bronze
ENCSR715XZS	bronze
ENCSR732IYM	bronze
ENCSR478FJK	bronze
ENCSR237YZT	bronze
ENCSR372DZW	bronze
ENCSR455VZH	bronze
ENCSR902WSK	bronze
ENCSR838SMC	bronze
ENCSR927XBT	unreleasable
ENCSR281KCL	bronze
ENCSR098NHI	bronze
ENCSR699VHE	ungradable
ENCSR500UDR	ungradable
ENCSR866XLI	bronze
ENCSR712CSN	bronze
ENCSR599UDS	bronze
ENCSR237IWZ	bronze
ENCSR879SWG	ungradable
ENCSR296ERI	bronze
ENCSR379LIF	ungradable
ENCSR809ISU	ungradable
ENCSR530SIN	ungradable
ENCSR624OUI	ungradable
ENCSR721JUO	ungradable
ENCSR064YML	ungradable
ENCSR860IXU	ungradable
ENCSR844QNT	bronze
ENCSR060KRD	bronze
ENCSR843LYF	bronze
ENCSR376RJN	bronze
ENCSR354XQY	bronze
ENCSR220TBR	bronze
ENCSR279HMU	bronze
ENCSR781YNI	bronze
ENCSR643UFV	bronze
ENCSR896MMU	bronze
ENCSR644AIM	bronze
ENCSR243IGA	bronze
ENCSR824GNG	ungradable
ENCSR945GUR	ungradable
ENCSR980ZQQ	ungradable
ENCSR028YAQ	bronze
ENCSR820ROH	bronze
ENCSR745WVZ	bronze
ENCSR138BKC	ungradable
ENCSR674KDQ	bronze
ENCSR681SMT	bronze
ENCSR598YQX	unreleasable
ENCSR283EME	ungradable
ENCSR117WLY	bronze
ENCSR355OQC	bronze
ENCSR208GPE	bronze
ENCSR450VQO	bronze
ENCSR728GML	ungradable
ENCSR494UDF	ungradable
ENCSR674KEK	bronze
ENCSR269ZAO	ungradable
ENCSR331DUD	bronze
ENCSR975ZSH	ungradable
ENCSR652QUM	ungradable
ENCSR055OOD	ungradable
ENCSR770LYW	ungradable
ENCSR454KYR	ungradable
ENCSR180HGT	ungradable
ENCSR192BPV	bronze
ENCSR210RWL	unreleasable
ENCSR580DKY	ungradable
ENCSR395FYF	ungradable
ENCSR829EFL	ungradable
ENCSR876ULV	ungradable
ENCSR415LOF	ungradable
ENCSR494VSD	bronze
ENCSR129ROE	bronze
ENCSR160OYP	ungradable
ENCSR808FBR	ungradable
ENCSR701GSV	ungradable
ENCSR342IRC	ungradable
ENCSR755KOM	bronze
ENCSR555MWS	ungradable
ENCSR693MZJ	bronze
ENCSR040WAK	bronze
ENCSR744YVR	bronze
ENCSR929FCW	ungradable
ENCSR468TGU	ungradable
ENCSR443EYY	ungradable
ENCSR301AOL	ungradable
ENCSR222SMI	bronze
ENCSR284BTA	ungradable
ENCSR644VTL	ungradable
ENCSR771PEU	ungradable
ENCSR782MXN	bronze
ENCSR767LLP	bronze
ENCSR330KHN	ungradable
ENCSR240QZK	ungradable
ENCSR929UAD	ungradable
ENCSR416ZJH	bronze
ENCSR167PSL	ungradable
ENCSR309HXK	bronze
ENCSR110ZYD	bronze
ENCSR490GPQ	ungradable
ENCSR164TLB	bronze
ENCSR101OPF	bronze
ENCSR717EDV	ungradable
ENCSR856ZRV	unreleasable
ENCSR810JYX	bronze
ENCSR971OAE	ungradable
ENCSR909IST	ungradable
ENCSR499FPZ	ungradable
ENCSR624LMC	ungradable
ENCSR659UJK	ungradable
ENCSR309PPC	bronze
ENCSR611LQB	bronze
ENCSR345VVZ	bronze
ENCSR661HEL	bronze
ENCSR721MXZ	bronze
ENCSR245BNJ	bronze
ENCSR003LSA	bronze
ENCSR353ZQY	ungradable
ENCSR082BBK	ungradable
ENCSR685JXU	bronze
ENCSR011BBS	bronze
ENCSR149QFJ	ungradable
ENCSR984LOK	ungradable
ENCSR967QNT	ungradable
ENCSR222LRL	bronze
ENCSR067AUG	bronze
ENCSR684HTV	bronze
ENCSR549GSF	ungradable
ENCSR047VPW	bronze
ENCSR584JRB	bronze
ENCSR222ABK	bronze
ENCSR228BUX	ungradable
ENCSR155BMF	bronze
ENCSR319EZR	ungradable
ENCSR016XPB	bronze
ENCSR082YGI	bronze
ENCSR322XVS	bronze
ENCSR696LLZ	bronze
ENCSR346DZQ	bronze
ENCSR825QXH	bronze
ENCSR379VXW	bronze
ENCSR647NYX	bronze
ENCSR602AWR	bronze
ENCSR837QDN	bronze
ENCSR909MBQ	ungradable
ENCSR116QBU	bronze
ENCSR808BJH	ungradable
ENCSR762FEO	bronze
ENCSR246SOU	silver
ENCSR079IPT	silver
ENCSR047EEG	silver
ENCSR771ZZL	bronze
ENCSR481YXD	bronze
ENCSR081EST	bronze
ENCSR610AEI	bronze
ENCSR611ZAL	silver
ENCSR597XHH	bronze
ENCSR330YOU	bronze
ENCSR861ENA	bronze
ENCSR009PPI	bronze
ENCSR746EKS	bronze
ENCSR017PRS	bronze
ENCSR074UZM	bronze
ENCSR094KBY	bronze
ENCSR030ARO	bronze
ENCSR853ZJS	bronze
ENCSR057GCF	bronze
ENCSR016IDR	bronze
ENCSR148MQK	bronze
ENCSR230ORC	bronze
ENCSR637JLM	bronze
ENCSR313CHR	bronze
ENCSR193FFA	bronze
ENCSR710NWE	bronze
ENCSR147ZBD	bronze
ENCSR627NVU	silver
ENCSR344XID	silver
ENCSR470PRV	bronze
ENCSR351CNN	bronze
ENCSR256PLH	gold
ENCSR561CBC	silver
ENCSR849STR	gold
ENCSR527IVX	gold
ENCSR584LDM	bronze
ENCSR129RWD	silver
ENCSR066VOO	gold
ENCSR921KDS	bronze
ENCSR201WFU	silver
ENCSR792XFP	gold
ENCSR464ADT	silver
ENCSR134JRE	silver
ENCSR891AXF	bronze
ENCSR056QEW	gold
ENCSR302JQA	gold
ENCSR792CBM	gold
ENCSR529JNJ	silver
ENCSR648QFY	silver
ENCSR629EWX	silver
ENCSR885YOI	bronze
ENCSR113HRG	gold
ENCSR560AYQ	silver
ENCSR545AIK	gold
ENCSR694LKY	gold
ENCSR905HID	bronze
ENCSR455TNF	bronze
ENCSR010ZMZ	bronze
ENCSR003EKR	bronze
ENCSR622MCX	bronze
ENCSR408SDL	bronze
ENCSR778AJO	bronze
ENCSR410MIQ	bronze
ENCSR716WZH	bronze
ENCSR081QQH	bronze
ENCSR500WHE	bronze
ENCSR597IYB	bronze
ENCSR084SCN	bronze
ENCSR185JGT	bronze
ENCSR007XKL	bronze
ENCSR286OKW	bronze
ENCSR783YSQ	bronze
ENCSR030GZQ	bronze
ENCSR485ZTC	bronze
ENCSR783LUA	bronze
ENCSR004RGI	bronze
ENCSR143UET	bronze
ENCSR300IEW	bronze
ENCSR815CVQ	bronze
ENCSR447UCG	bronze
ENCSR268JDD	bronze
ENCSR398LZW	bronze
ENCSR064DXG	bronze
ENCSR850CKU	bronze
ENCSR812EIA	bronze
ENCSR576GOW	bronze
ENCSR514RUT	ungradable
ENCSR205VSQ	bronze
ENCSR134ZHQ	ungradable
ENCSR374VEX	ungradable
