accession	validation_status
ENCSR947AZP	bronze
ENCSR914MFC	ungradable
ENCSR018TLG	ungradable
ENCSR848LXY	silver
ENCSR275QVY	ungradable
ENCSR918HDF	ungradable
ENCSR150QJY	gold
ENCSR313COD	gold
ENCSR645TCG	gold
ENCSR671WMH	gold
ENCSR504NIU	gold
ENCSR080HPT	gold
ENCSR708VVE	gold
ENCSR182CBU	gold
ENCSR796HLX	gold
ENCSR858QEL	gold
ENCSR648OSR	gold
ENCSR434TEU	gold
ENCSR094VRQ	gold
ENCSR098BUF	gold
ENCSR042GYH	gold
ENCSR158KFO	gold
ENCSR729CAZ	gold
ENCSR425RGZ	gold
ENCSR839ZDH	gold
ENCSR272UNO	gold
ENCSR750ETS	gold
ENCSR586SYA	gold
ENCSR671IYC	gold
ENCSR841ADZ	gold
ENCSR748GVH	ungradable
ENCSR023VVO	ungradable
ENCSR808RGU	ungradable
ENCSR678TMV	gold
ENCSR236URT	ungradable
ENCSR859HWB	ungradable
ENCSR609NZM	gold
ENCSR436QDU	gold
ENCSR294NDO	ungradable
ENCSR510QZW	ungradable
ENCSR571RXE	gold
ENCSR457ENP	gold
ENCSR391VGU	gold
ENCSR226KML	gold
ENCSR504QMK	gold
ENCSR683VTE	ungradable
ENCSR460YCS	gold
ENCSR723SZV	silver
ENCSR527RFK	bronze
ENCSR254JJM	bronze
ENCSR371VGV	bronze
ENCSR001HHK	silver
ENCSR000AFO	silver
ENCSR367ZPZ	gold
ENCSR000AFC	silver
ENCSR000AFH	gold
ENCSR000AAO	gold
ENCSR313IUO	bronze
ENCSR000AAN	silver
ENCSR982MRY	silver
ENCSR580GSX	silver
ENCSR584JXD	bronze
ENCSR680USE	silver
ENCSR292TAP	silver
ENCSR035DLJ	bronze
ENCSR236ZIE	bronze
ENCSR597UZW	silver
ENCSR000AEG	silver
ENCSR000AAM	silver
ENCSR971GPJ	silver
ENCSR373BDG	gold
ENCSR136WGP	silver
ENCSR369RVN	gold
ENCSR255SDF	silver
ENCSR000OXO	bronze
ENCSR457RRW	gold
ENCSR236EGS	bronze
ENCSR867YNV	bronze
ENCSR826IXR	bronze
ENCSR897KTO	silver
ENCSR696SMK	bronze
ENCSR000AJU	silver
ENCSR667JTA	bronze
ENCSR198TKA	silver
ENCSR669KQU	silver
ENCSR255NYQ	bronze
ENCSR504VXC	silver
ENCSR332DBS	silver
ENCSR894WMQ	silver
ENCSR995JXE	silver
ENCSR110BDY	silver
ENCSR535VTR	silver
ENCSR549QME	bronze
ENCSR291DJH	silver
ENCSR833HPM	silver
ENCSR000AFV	bronze
ENCSR000AFX	silver
ENCSR000AFY	bronze
ENCSR000AFR	silver
ENCSR000AEJ	bronze
ENCSR000AES	bronze
ENCSR000AGB	bronze
ENCSR000AGH	silver
ENCSR000AGF	bronze
ENCSR000AFU	bronze
ENCSR000AGD	bronze
ENCSR000AGE	bronze
ENCSR448MXQ	silver
ENCSR284YKY	gold
ENCSR667TOX	gold
ENCSR337FYI	gold
ENCSR000AEN	silver
ENCSR538WYL	gold
ENCSR000AFZ	silver
ENCSR000AJG	bronze
ENCSR211PJW	silver
ENCSR343YLB	silver
ENCSR826HIQ	gold
ENCSR423XRG	bronze
ENCSR096STK	gold
ENCSR438XCG	gold
ENCSR368QPC	bronze
ENCSR579FCW	silver
ENCSR000AAU	silver
ENCSR928OXI	silver
ENCSR970EWM	gold
ENCSR722POQ	bronze
ENCSR559TRB	gold
ENCSR855CYO	silver
ENCSR992WBR	gold
ENCSR020DGG	silver
ENCSR510ADJ	bronze
ENCSR625QJI	bronze
ENCSR971KNW	bronze
ENCSR797BPP	silver
ENCSR181KQJ	silver
ENCSR201WVA	silver
ENCSR586SEE	bronze
ENCSR815UVL	silver
ENCSR000AAV	silver
ENCSR000AEU	gold
ENCSR314LXG	bronze
ENCSR490SQH	silver
ENCSR568YRP	silver
ENCSR320BRR	silver
ENCSR968WKR	silver
ENCSR526SEX	gold
ENCSR985KAT	bronze
ENCSR880EGO	bronze
ENCSR967JPI	gold
ENCSR429EWK	gold
ENCSR276MMH	gold
ENCSR321PGV	gold
ENCSR954PZB	gold
ENCSR023ZXN	gold
ENCSR837ZLY	gold
ENCSR532LJV	gold
ENCSR739PEB	bronze
ENCSR000AAS	silver
ENCSR000AEE	gold
ENCSR000AFE	silver
ENCSR000AEP	silver
ENCSR000AFK	silver
ENCSR000AEX	gold
ENCSR557RMA	gold
ENCSR347SQR	gold
ENCSR000AAC	silver
ENCSR569JKX	silver
ENCSR636CWO	gold
ENCSR062VTB	gold
ENCSR900JSG	bronze
ENCSR000AEW	silver
ENCSR000AAB	silver
ENCSR489KNQ	bronze
ENCSR828TEI	silver
ENCSR444WHQ	silver
ENCSR233IJT	bronze
